item,type,website,orig_price
EVGA RTX 3060 XC Black,graphics card,https://www.amazon.com/EVGA-GeForce-Gaming-12G-P5-3655-KR-Dual-Fan/dp/B091MNBNWT/ref=sr_1_1?crid=5SFRFAZKVDR4&keywords=EVGA+RTX+3060+XC+Black&qid=1657310647&sprefix=evga+rtx+3060+xc+black%2Caps%2C6625&sr=8-1&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,414.99,
MSI Gaming GeForce RTX 3070,graphics card,https://www.amazon.com/MSI-GeForce-RTX-3070-Architecture/dp/B097MYTZMW/ref=sr_1_3?crid=YLR72YYCWKZH&keywords=Nvidia+RTX+3070&qid=1657310351&sprefix=nvidia+rtx+3070%2Caps%2C92&sr=8-3&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,659.99,
Nvidia GeForce RTX 3080 Ti Founders Edition,graphics card,https://www.amazon.com/Geforce-GDDR6X-Express-Graphics-Titanium/dp/B096L83WV8/ref=sr_1_1?crid=2N8V9ZEBO195O&keywords=Nvidia+GeForce+RTX+3080+Ti+Founders+Edition&qid=1657310729&sprefix=nvidia+geforce+rtx+3080+ti+founders+edition%2Caps%2C92&sr=8-1,899.95,
AMD Radeon RX 6800,graphics card,https://www.amazon.com/AMD-Radeon-Reference-Gaming-Graphics/dp/B09W7S6QC3/ref=sr_1_4?crid=15ERB1KWZAD8Q&keywords=AMD+Radeon+RX+6800&qid=1657312258&sprefix=amd+radeon+rx+6800%2Caps%2C140&sr=8-4&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,876.49,
Nvidia RTX 3060 Ti Founders Edition,graphics card,https://www.amazon.com/NVIDIA-GeForce-Founders-Express-Graphics/dp/B08PW559LL/ref=sr_1_1?crid=WS3C2K9X6OW&keywords=Nvidia+RTX+3060+Ti+Founders+Edition&qid=1657310842&sprefix=nvidia+rtx+3060+ti+founders+edition%2Caps%2C92&sr=8-1&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,597.99,
Asus TUF Gaming RTX 3070,graphics card,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B09865Q9GS/ref=sr_1_2?crid=3LJ9UUUHXC2IP&keywords=Asus+TUF+Gaming+RTX+3070&qid=1657310936&sprefix=asus+tuf+gaming+rtx+3070%2Caps%2C89&sr=8-2&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,659.99,
AMD Radeon RX 6800 XT,graphics card,https://www.amazon.com/PowerColor-Graphics-Powered-Raytracing-Infinity/dp/B08T9H18TJ/ref=sr_1_3?crid=2MI7BUAPKT1BS&keywords=AMD+Radeon+RX+6800+XT&qid=1657311003&sprefix=amd+radeon+rx+6800+xt%2Caps%2C210&sr=8-3&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,769.99,
MSI RTX 3080 Gaming X Trio,graphics card,https://www.amazon.com/MSI-GeForce-RTX-3080-LHR/dp/B0995S7548/ref=sr_1_1?crid=3122ABHN2WD9G&keywords=MSI+RTX+3080+Gaming+X+Trio&qid=1657311376&sprefix=msi+rtx+3080+gaming+x+trio%2Caps%2C170&sr=8-1&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,884.55,
MSI RTX 3090 Ti Suprim X 24G,graphics card,https://www.amazon.com/MSI-GeForce-RTX-SUPRIM-24G/dp/B09R9JPVK9/ref=sr_1_2?crid=3SWQ4IBO6LJ87&keywords=MSI+RTX+3090+Ti+Suprim+X+24G&qid=1657311482&sprefix=msi+rtx+3090+ti+suprim+x+24g%2Caps%2C135&sr=8-2&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,1879.99,
AMD Ryzen 7 5700G 8-Core,power source,https://www.amazon.com/AMD-Ryzen-5700G-16-Thread-Processor/dp/B091J3NYVF/ref=sr_1_1?crid=13ROJR2VGY89H&keywords=AMD+Ryzen+7+5700G&qid=1657311729&sprefix=amd+ryzen+7+5700g%2Caps%2C170&sr=8-1&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,289.00,
